"spp1","spp2","spp3","spp4","spp5","spp6","spp7","spp8","spp9","spp10","spp11","spp12","spp13","spp14","spp15","spp16","spp17","spp18","spp19","spp20","spp21","spp22","spp23","spp24","spp25","spp26","spp27","spp28","spp29","spp30"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,10,31,57,72,79,72,53,25,12,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,9,28,43,77,78,75,45,22,14,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,10,35,49,73,76,68,50,29,7,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,9,14,34,40,74,80,77,49,32,11,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,8,9,33,56,82,80,74,51,29,7,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,5,13,25,47,70,83,67,46,26,15,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,9,36,38,67,74,71,49,31,8,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,6,10,27,45,70,71,69,52,22,8,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,8,11,25,50,64,79,63,38,20,12,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,15,11,27,52,68,76,66,37,22,11,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,6,13,16,26,39,56,74,63,35,25,13,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,15,14,37,41,64,66,56,45,24,12,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,11,14,24,23,24,47,62,63,64,44,18,13,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,16,18,32,24,37,48,47,62,59,39,12,8,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,13,20,30,35,29,50,56,49,41,30,19,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,18,28,34,35,39,43,48,50,45,25,8,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,15,27,37,41,37,39,41,37,42,33,18,9,9,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,17,27,45,61,39,40,41,40,33,31,17,10,6,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,16,33,53,48,56,33,37,29,29,25,16,4,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,23,36,52,60,61,55,29,19,26,18,12,5,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,19,29,56,59,58,37,31,28,18,16,8,6,2,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13,19,47,55,64,70,48,32,22,11,17,7,4,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,23,37,63,70,64,42,26,14,17,8,7,6,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,18,21,43,73,68,59,41,28,13,7,10,1,2,3,0
0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,18,46,59,66,69,45,30,15,16,7,5,3,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,24,38,56,76,68,42,31,18,8,11,7,3,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,18,38,60,78,62,48,26,16,11,10,9,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,10,28,47,66,71,63,43,38,21,15,10,6,3,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,23,45,62,71,65,44,31,15,20,18,6,4,3,2
0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,11,18,40,68,75,72,39,28,17,14,8,9,2,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,14,39,68,64,53,41,23,25,19,16,9,9,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11,19,36,52,57,56,39,31,22,26,18,20,6,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,15,28,44,51,49,44,35,25,33,17,18,9,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,12,17,40,49,50,42,39,30,30,29,17,16,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,17,32,39,41,39,39,34,35,35,21,8,4,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,11,23,20,40,34,30,45,45,52,45,28,9,10,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,15,23,29,31,45,43,57,60,44,31,22,11,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,15,13,24,25,32,52,46,55,52,42,14,6,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,13,24,28,37,43,59,69,62,37,18,10,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,8,12,21,11,26,49,60,67,66,43,20,10,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,8,10,13,26,44,60,69,56,50,25,6,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,12,19,20,29,51,73,73,66,44,25,9,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,6,10,10,27,49,63,79,73,35,25,13,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,8,13,27,36,73,70,78,43,25,8,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,9,14,37,46,73,67,70,51,26,17,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4,15,29,47,74,82,71,52,26,7,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,6,11,27,62,71,68,65,50,21,13,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,13,24,45,74,71,70,42,22,15,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,12,21,43,68,80,68,46,25,6,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,6,12,28,49,69,75,68,41,31,9,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,6,11,22,53,67,75,68,52,28,12,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,16,33,40,63,79,65,50,26,4,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,10,25,56,77,79,70,57,24,12,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,17,30,49,64,72,75,49,24,9,4
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,6,6,8,26,53,65,75,64,53,29,12,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,9,18,27,41,60,78,73,35,28,9,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,11,36,48,73,73,68,50,32,12,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,7,22,24,46,59,78,65,46,24,11,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,9,11,30,51,65,72,65,45,29,9,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,6,4,15,26,46,65,76,57,47,28,7,4
